conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,self_disclosure_mean,fact_type,question_type,feeling_direction,agree_type,da,da_category
2,5,Person 2,I agree. Have you ever been in a hurricane?,"('qy',)",0.959113061,1.285262823,0.912194252,1.483700752,2.514327435,2.0921847,no,qy,no,no,qy,question
2,6,Person 1,"No, and You?","('qy',)",0.648140788,1.244145632,1.272979259,1.309411407,2.514327435,2.0921847,no,qy,no,no,qy,question
2,7,Person 2,"Yes! It's actually terrifying. We were supposed to evacuate but decided to stay because we thought , what's the worst that can happen?","('aa',)",3.322772741,3.610903025,1.528846979,2.668839693,2.514327435,2.0921847,no,no,no,accept,aa,agreement
2,8,Person 1,"Sorry to hear that, I'm glad that you are okay!",(),1.492550015,2.224158525,0.394537926,1.41603756,2.514327435,2.0921847,opinion,no,no,no,none,others
2,9,Person 2,Thank you! I'm glad that we still had water and electricity. I can't even imagine what the people over in Haiti are going through,"('ft',)",3.67856884,3.625030041,0.872702301,2.460009575,2.514327435,2.0921847,no,no,forward,no,ft,forward
2,10,Person 1,I felt really sorry for the sister that now has to rise her siblings.,"('by',)",3.882807016,3.541515589,1.881185412,2.76689744,2.514327435,2.0921847,no,no,backward,no,by,backward
2,11,Person 2,"Yeah, it's going to be tough but i am sure she is strong enough to raise them.","('aa',)",2.935290337,2.673375845,0.863167644,2.465532541,2.514327435,2.0921847,no,no,no,accept,aa,agreement
2,12,Person 1,"Yeah, we never know what we can do unless we are tested.","('aa',)",1.666224718,1.555791974,0.690509558,1.678940535,2.514327435,2.0921847,no,no,no,accept,aa,agreement
2,13,Person 2,True. Have you been in ANY kind of natural disasters?,"('qy',)",1.101553082,1.250976563,0.820595443,1.395084381,2.514327435,2.0921847,no,qy,no,no,qy,question
2,14,Person 1,Tornado when I was young. They suck too.,"('sv',)",2.163475037,2.799135923,1.784173608,2.921925545,2.514327435,2.0921847,opinion,no,no,no,sv,statement
2,15,Person 2,Never been in one but i can only imagine it's even scarier than a hurricane,"('sv',)",3.01468873,3.425150394,1.96450007,2.524265051,2.514327435,2.0921847,opinion,no,no,no,sv,statement
2,16,Person 1,The power of nature is truly scary.,"('aa',)",2.774595261,3.788777828,1.693697572,2.131528139,2.514327435,2.0921847,no,no,no,accept,aa,agreement
2,17,Person 2,Agree. I hope those people get some water and food as soon as possible,"('fx',)",3.518697977,3.14978981,0.615870833,2.479744911,2.514327435,2.0921847,no,no,forward,no,fx,forward
2,18,Person 1,"Me too, I wish there was a direct way to aid the people.",(),3.327718019,2.641368628,1.412013531,2.588753462,2.514327435,2.0921847,opinion,no,no,no,none,others
2,19,Person 2,Yup! Well it was nice talking to you! bye,"('fc',)",0.677030146,1.647573113,0.194555879,0.922765791,2.514327435,2.0921847,no,no,forward,no,fc,forward
2,20,Person 1,You too! bye,"('fc',)",0.589118123,1.426474452,0.443008989,1.035583854,2.514327435,2.0921847,no,no,forward,no,fc,forward
3,0,Person 1,what did you think about the article,"('qo',)",0.605084002,0.73520261,1.033476233,0.90485698,2.213530349,1.93877187,no,qo,no,no,qo,question
3,1,Person 2,It was such an eye opener about the suffering that happens that you never hear about,"('sv',)",3.598161459,3.71054554,1.179020882,2.107582092,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,2,Person 1,its crazy the stuff that goes on in this world,"('sv',)",2.370448828,3.184951544,1.992720008,1.951014638,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,3,Person 2,right i can't believe it. If that was the US they would be set up to avoid fsilure,"('sv',)",2.969302654,3.322656393,1.811817884,2.18832922,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,4,Person 1,yeah some countries are so corrupt though,"('sv',)",1.974407434,2.376556635,1.912933946,1.924520016,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,5,Person 2,"true, i heard in puerto rico they did not even distrubute the hurricane supplies the US gave them","('aa',)",2.125952959,1.842842937,1.592028022,2.099511147,2.213530349,1.93877187,no,no,no,accept,aa,agreement
3,6,Person 1,i remember  trump throwing toilet paper rolls at the crowd in puerto rico that was so embarrasing,"('sv',)",2.860219479,3.748371601,2.067334414,2.939581394,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,7,Person 2,o wow that is very embarrassing and degrading,(),3.129810572,3.936531782,1.987094522,2.415349245,2.213530349,1.93877187,opinion,no,no,no,none,others
3,8,Person 1,yeah wonder what was going through is head,"('aa',)",2.767811298,1.90151298,1.585380912,1.535402417,2.213530349,1.93877187,no,no,no,accept,aa,agreement
3,9,Person 2,probably a power trip or an i'm better than you moment,"('sv',)",1.150439262,2.228942633,1.623221517,1.866524816,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,10,Person 1,what do you think can be done to help the people in haiti,"('qo',)",1.695917487,1.246825576,0.861423016,1.236839056,2.213530349,1.93877187,no,qo,no,no,qo,question
3,11,Person 2,I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer,"('sv',)",2.547921658,2.459547758,0.550238132,2.433296919,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,12,Person 1,makes sense. also find better ways rather than trucks that are easily looted by the people,"('+',)",2.631526232,2.011516809,0.849516749,1.919355631,2.213530349,1.93877187,no,no,no,no,+,others
3,13,Person 2,ahh so true!also insure that when you say there is enough for everyone that there actually is.,(),2.275655031,2.288958073,0.468147039,1.827947736,2.213530349,1.93877187,opinion,no,no,no,none,others
3,14,Person 1,and also not let the haitian govt get there hands on any of it they are corrupt,"('sv',)",2.048648357,2.664533854,1.73764658,2.130253077,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,15,Person 2,America should dethrone the government and make it the 51st state,(),1.736177564,2.28168416,1.49095583,2.13596344,2.213530349,1.93877187,fact,no,no,no,none,others
3,16,Person 1,thats a great idea,"('ba',)",1.991783142,2.467508316,0.014256975,1.640676379,2.213530349,1.93877187,no,no,backward,no,ba,backward
3,17,Person 2,hopefully these people get the help they need i am going to look into it after this,(),2.963730097,2.72081995,0.518306971,2.468865156,2.213530349,1.93877187,fact,no,no,no,none,others
3,18,Person 1,me too very interested in the outcome,"('aa',)",2.05765152,1.942321301,0.58989656,1.700583458,2.213530349,1.93877187,no,no,no,accept,aa,agreement
3,19,Person 2,so crazy the suffering that is going on that we have no idea about,"('sv',)",3.502179861,3.788929224,1.992669821,2.184373617,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,20,Person 1,were lucky to live here,"('sv',)",1.887920499,2.074551821,0.230453253,1.833494782,2.213530349,1.93877187,opinion,no,no,no,sv,statement
3,21,Person 2,i agree makes my troubles seem so small,"('aa',)",2.757097483,2.59909606,0.392480552,2.686435461,2.213530349,1.93877187,no,no,no,accept,aa,agreement
3,22,Person 1,yeah makes u realize your problems are miniscule in comparison,"('aa', 'sv')",2.42565012,2.576011896,0.792806447,1.988654017,2.213530349,1.93877187,opinion,no,no,accept,aa,agreement
3,23,Person 2,i agree. it was so nice chatting with you. goodbye,"('fc',)",0.888765216,2.121015072,0.219517648,1.435925245,2.213530349,1.93877187,no,no,forward,no,fc,forward
3,24,Person 1,bye,"('fc',)",0.3759965,0.742811799,1.016468167,0.913960814,2.213530349,1.93877187,no,no,forward,no,fc,forward
4,0,Person 1,Do you think the people of Haiti will ever recover from the effects of these recent natural disasters?,"('qy',)",2.206650019,1.605400681,1.237395167,1.576413512,2.228800533,1.91377634,no,qy,no,no,qy,question
4,1,Person 2,I am not sure it is a quite poor area :(,"('sv',)",2.709777355,1.869309902,1.76964581,1.693805218,2.228800533,1.91377634,opinion,no,no,no,sv,statement
4,2,Person 1,Yes it is. The people there need a lot of help. What do you think are some of the best ways to get them the help they need,"('aa',)",2.79153347,1.994913697,1.111251473,1.628167629,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,3,Person 2,I think if the UN is able to get them the required funds that will help a lot.,"('sv',)",2.84913516,1.96863234,0.464111596,1.91801405,2.228800533,1.91377634,opinion,no,no,no,sv,statement
4,4,Person 1,I am inclined to disagree. More money is only a temporary solution. I think they need lasting change,(),2.329773903,2.052301168,1.413386941,2.274554729,2.228800533,1.91377634,opinion,no,no,no,none,others
4,5,Person 2,"Yes, I hear there is a lot of corruption there as well, that is also a problem. Money is short term","('aa',)",2.143076181,1.773237467,1.488777995,1.921105981,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,6,Person 1,Yes corruption is a huge problem. I think the NGO's and the UN should focus more on teaching the Haitian people to help themselves and develop the country,(),2.786330223,2.534272909,1.583918214,2.529130459,2.228800533,1.91377634,opinion,no,no,no,none,others
4,7,Person 2,"Yes getting a better government is the best way to help any region. Most countries, do not absolutely need outside for every disaster","('aa',)",2.586285114,1.980368495,0.722912192,2.23341918,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,8,Person 1,I don't think the US wants a ''better'' government. They want a government they can control or influence. Corruption helps with that agenda,(),2.118098497,2.189382553,1.608552933,2.291204214,2.228800533,1.91377634,opinion,no,no,no,none,others
4,9,Person 2,Yes two things can be true at once though. They want a better government but also try to get power and control in the process.,"('aa',)",2.172122955,2.151742458,1.290441394,2.042625189,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,10,Person 1,Do you think the United States has a vested interest in a developed and autonomous Haiti? I don't think so,"('qy',)",1.485891938,1.502699494,1.030089021,1.558516383,2.228800533,1.91377634,no,qy,no,no,qy,question
4,11,Person 2,Yeah I would not count on it. So you think the change should come from within?,"('qy',)",1.38485992,1.36553669,0.912966907,1.575989246,2.228800533,1.91377634,no,qy,no,no,qy,question
4,12,Person 1,Yes. I think that is the only way to get lasting long term and meaningful change. We have to help them help themselves,(),2.78845191,2.170058966,0.701018572,2.302538633,2.228800533,1.91377634,opinion,no,no,no,none,others
4,13,Person 2,"Yes that is why I think giving them aid, with no strings attached, is a good way to do this.","('aa',)",2.702204466,1.956330538,0.481992751,2.122244835,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,14,Person 1,I disagree. With all the corruption it would just be money wasted. We should control the funds and focus more on sending people and material,"('aa',)",2.465142488,2.469764471,1.572179437,2.386782408,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,15,Person 2,"Yeah but you can not have it both ways, either we send money and get power and control, or we send it no strings attached. So I think there might have to be strings actually, as you reminded me of the corruption.",(),1.95320344,1.911598086,1.186280489,2.104425669,2.228800533,1.91377634,opinion,no,no,no,none,others
4,16,Person 1,Some other questions would be how much money and how long would we have to be involved?,"('qw',)",1.645879745,1.254244208,0.895026326,1.353890181,2.228800533,1.91377634,no,qw,no,no,qw,question
4,17,Person 2,I think the article said the UN was looking to send $800 million. No more then ten years in my opinion,"('sv',)",1.967626333,1.443369389,1.390182853,1.888963938,2.228800533,1.91377634,opinion,no,no,no,sv,statement
4,18,Person 1,I think 10 years is a good figure. But it seems like any problems Haiti has are only made worse by natural disasters. And no one can stop those,"('sv',)",2.572858572,2.173585176,1.517072558,1.962824345,2.228800533,1.91377634,opinion,no,no,no,sv,statement
4,19,Person 2,"Yes there will always be disasters. Until the core problem of the country is fixed, I think we will always have to be ready to help.","('aa',)",2.318537474,2.125593901,1.227717876,2.236574888,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,20,Person 1,That might take a lot longer than 10 years. It might be a good idea if the UN established permanent or semi permanent facilitiesc,"('sv',)",1.937270999,1.402308822,0.898717344,1.533683658,2.228800533,1.91377634,opinion,no,no,no,sv,statement
4,21,Person 2,Yes I think if we could supply them advisers and disaster professionals they could greatly benefit,"('aa',)",2.756203651,1.877337456,0.152440712,2.13581109,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,22,Person 1,"True, but who would want to go there long term? I know I wouldn't. It's so far away and so different","('aa',)",2.589609385,2.51914382,1.388431907,2.399297237,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,23,Person 2,I probably would not. We would have to compensate those individuals well.,(),2.331150293,1.62605226,1.259886265,2.049778223,2.228800533,1.91377634,opinion,no,no,no,none,others
4,24,Person 1,The compensation would have to be high to motivate the right people,(),2.602655649,1.848606586,1.138471484,1.730181694,2.228800533,1.91377634,opinion,no,no,no,none,others
4,25,Person 2,"Yeah but I think the fact they would be helping those in need, could also be a motivation","('aa',)",3.249521017,1.780770302,0.432354093,1.864192486,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,26,Person 1,True but would it be enough to keep them from their friends and family for long durations?,"('aa',)",2.500533819,1.877399087,1.220397353,1.64283061,2.228800533,1.91377634,no,no,no,accept,aa,agreement
4,27,Person 2,"Probably different for each person, I am optimistic though.",(),1.845416069,1.909939528,0.426385492,2.279484034,2.228800533,1.91377634,opinion,no,no,no,none,others
4,28,Person 1,Yes I can see that. It has been nice chatting. We have to bring our conversation to a conclusion,"('fc',)",1.668554544,1.891535401,0.500703335,1.69663465,2.228800533,1.91377634,no,no,forward,no,fc,forward
4,29,Person 2,Yes this has been enjoyable. bye,"('fc',)",1.050390244,1.726265311,0.303764194,1.348383904,2.228800533,1.91377634,no,no,forward,no,fc,forward
4,30,Person 1,goodbye,"('fc',)",0.584071696,0.839885592,0.84452492,1.045598269,2.228800533,1.91377634,no,no,forward,no,fc,forward
5,0,Person 1,"Please, what did you think about the article","('qo',)",0.694377065,0.779891849,1.038947344,0.90477562,2.361961788,2.391260171,no,qo,no,no,qo,question
5,1,Person 2,It's very sad.   I can't believe in the 21st century that people are still so slow in helping third world countries or even in the US when New Orleans was destroyed.   It makes no sense.,"('sv',)",3.578708887,3.937028646,1.801490545,2.818749666,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,2,Person 1,It's terrible. I feel bad for all the people left without shelter!,"('sv',)",4.047956467,3.884264708,2.049071074,2.778981447,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,3,Person 2,And food - you can get by in Haiti without much shelter but one must have clean water and food to live,"('sv',)",2.888448238,1.861566186,1.071514845,2.102469444,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,4,Person 1,Agree. Have you ever been in a hurricane?,"('qy',)",0.897352874,1.283115268,0.914469361,1.386304855,2.361961788,2.391260171,no,qy,no,no,qy,question
5,5,Person 2,I have not but I have been to Haiti on a mission trip.   Such wonderful kind people.,"('ng',)",2.314934492,2.424280405,0.501071572,3.096014261,2.361961788,2.391260171,no,answer,no,no,ng,others
5,6,Person 1,"Wow, Haiti sounds awesome. I'm from Florida so there's lots of them here and they are all nice.","('ba',)",2.007914782,2.522532225,0.37122348,2.705569029,2.361961788,2.391260171,no,no,backward,no,ba,backward
5,7,Person 2,That would be so much stress.   I live in Colorado so just beautiful white snow.,"('sv',)",3.121762037,3.233981133,1.405392885,3.141088486,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,8,Person 1,"It's pretty stressful when hurricanes hit. I once stayed for one even though we were supposed to evacuate, nobody was hurt but it was a scary experience","('sv',)",2.733520746,3.147331476,1.729946136,3.079001904,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,9,Person 2,I have been near tornadoes and they look bad enough.  I can't imagine a hurricane.,"('sv',)",2.559056044,2.783064127,1.853110433,2.879240513,2.361961788,2.391260171,opinion,no,no,no,sv,statement
5,10,Person 1,It's scary because all you can do is hide in your home hoping it passes by without doing much damage. I hope the people affected by the hurricane are getting help right now.,(),3.578028679,3.457127571,1.404114127,2.579124212,2.361961788,2.391260171,opinion,no,no,no,none,others
5,11,Person 2,I follow college basketball like a crazy person.   Skal Labiesse was trapped in the hurricane in this article.   His whole home collapsed on him and he was covered with rock and materials for three days.   His story is so frightening.   He thought he was dying,"('sd',)",3.085489035,3.770128965,1.501497149,3.227743387,2.361961788,2.391260171,fact,no,no,no,sd,statement
5,12,Person 1,Yeah it's definitely very different. The air pressure feels different when you're in a hurricane. All you hear are sounds of things ripping apart ourside,"('sd',)",2.775066853,2.202242136,1.272632718,2.190259218,2.361961788,2.391260171,fact,no,no,no,sd,statement
5,13,Person 2,Wow.   Are you on the gulf or the Atlantic?,"('qy',)",0.717976868,1.294597507,0.806580842,1.297902822,2.361961788,2.391260171,no,qy,no,no,qy,question
5,14,Person 1,"Atlantic, i've lived in Florida for about 8 years now and luckyily haven't had any MAJOR hurricane yet.","('no',)",1.424064755,2.138354063,0.525024652,2.813960552,2.361961788,2.391260171,no,answer,no,no,no,others
5,15,Person 2,That's good to hear.   Haiti has such a corrupt government - I wonder how much their President stole from the people so he had fun for a long time.,"('qh',)",2.435872793,2.576280117,1.026080966,2.211721182,2.361961788,2.391260171,no,no,forward,no,qh,forward
5,16,Person 1,I didn't think of that. That's why i don't even donate but i feel bad because i can't help,"('sd',)",2.577212572,2.84356904,1.763558269,3.030903578,2.361961788,2.391260171,fact,no,no,no,sd,statement
5,17,Person 2,"It's gotten to that point everywhere unless a church is doing all the work.   American Cancer Society, March of Dimes, United Way - hardly any goes to the people or cause you are donating to - it's all taken in outlandish salaries of that charity","('sd',)",2.678081512,2.702670336,1.975535393,2.521137238,2.361961788,2.391260171,fact,no,no,no,sd,statement
5,18,Person 1,Sad that people are so corrupt. I really hope those people get help. It was nice talking to you! bye!,"('fc',)",2.466630459,2.93747735,1.02358973,2.098019838,2.361961788,2.391260171,no,no,forward,no,fc,forward
5,19,Person 2,You too goodbye,"('fc',)",0.656780601,1.089647651,0.779734552,0.962236166,2.361961788,2.391260171,no,no,forward,no,fc,forward
6,0,Person 1,what a sad thing to happen to someone who has gone through so much,(),3.893513203,3.649993896,2.072602034,2.19220376,1.981660358,1.800198546,fact,no,no,no,none,others
6,1,Person 2,and at such a young age too.,"('sv',)",2.785151243,2.335156202,1.485154986,1.907829046,1.981660358,1.800198546,opinion,no,no,no,sv,statement
6,2,Person 1,what a freak accident,"('sv',)",2.628217936,3.552824974,1.642218709,1.644944072,1.981660358,1.800198546,opinion,no,no,no,sv,statement
6,3,Person 2,"yeah, they didn't really elaborate on what happened though","('aa',)",1.571880102,1.479747176,1.161749959,1.23418355,1.981660358,1.800198546,no,no,no,accept,aa,agreement
6,4,Person 1,he had the true american dream story,"('sv',)",1.944835782,2.126153231,1.005996823,1.801892519,1.981660358,1.800198546,opinion,no,no,no,sv,statement
6,5,Person 2,"more or less, most people can't throw 94 mph fast balls though.","('sd',)",1.800318718,1.780823588,1.308717251,1.866721511,1.981660358,1.800198546,fact,no,no,no,sd,statement
6,6,Person 1,yup but going from poor to crazy rich all from hard work. love to see it,"('aa',)",2.670253038,3.076835632,0.519609928,2.111213923,1.981660358,1.800198546,no,no,no,accept,aa,agreement
6,7,Person 2,seemed to be a pretty altruistic guy too. There wasn't anything but goodwill toward him.,"('sv',)",2.355540991,2.02923131,0.682743669,1.7802279,1.981660358,1.800198546,opinion,no,no,no,sv,statement
6,8,Person 1,I wonder if the team retired his number to honor him,"('qy',)",2.163012266,1.649164796,0.571875513,1.705980539,1.981660358,1.800198546,no,qy,no,no,qy,question
6,9,Person 2,"hm, i wouldn't know. Do you follow baseball?","('qy',)",0.814845681,1.09180367,0.702812195,1.134273171,1.981660358,1.800198546,no,qy,no,no,qy,question
6,10,Person 1,"yes, I watch the yankees almost every night. How about you?",(),1.071523428,1.548979044,0.755506158,2.19284606,1.981660358,1.800198546,opinion,no,no,no,none,others
6,11,Person 2,"I like to play baseball, but watching it never really thrills me. Are the Yankees in the playoffs this year?","('qy',)",1.614933252,2.221539974,0.935019851,2.60076499,1.981660358,1.800198546,no,qy,no,no,qy,question
6,12,Person 1,yes! they made it to the playoffs!,(),1.565554142,2.427621126,0.17279084,1.721556425,1.981660358,1.800198546,fact,no,no,no,none,others
6,13,Person 2,that's great! Had you heard about this guy before reading the article? Seems like he was kind of a big deal.,"('qy',)",1.371037245,1.738807082,0.477115601,1.359462976,1.981660358,1.800198546,no,qy,no,no,qy,question
6,14,Person 1,I heard about it in the news when it happened but I don't follow baseball to close just the yankees. I bet he was a pretty big deal on his team.,"('sd',)",2.097133636,1.94433856,1.022943497,2.269933701,1.981660358,1.800198546,fact,no,no,no,sd,statement
6,15,Person 2,"do you think it was just a freak accident? Or, was there more to the boat wreck than was indicated?","('qy',)",1.388770938,1.419883609,1.034698486,1.225122213,1.981660358,1.800198546,no,qy,no,no,qy,question
6,16,Person 1,I remember hearing he jumped into the water head first into a rock and it killed him instantly.,(),2.702089548,2.85497117,1.369103551,2.452805996,1.981660358,1.800198546,opinion,no,no,no,none,others
6,17,Person 2,"huh, the article made it sound like it was a wreck at high speed or something. The rock story seems less conspicuous.","('sd',)",2.128843069,1.777661204,1.170530915,1.693386316,1.981660358,1.800198546,fact,no,no,no,sd,statement
6,18,Person 1,i couldn't imagine being the family of him that had to be horrible,"('sv',)",3.889652491,3.881817579,2.064221144,2.692454576,1.981660358,1.800198546,opinion,no,no,no,sv,statement
6,19,Person 2,no doubt. well thanks for chatting with me. Go Yankees! bye,"('fc',)",0.781764448,1.466624975,0.536063135,1.302405238,1.981660358,1.800198546,no,no,forward,no,fc,forward
6,20,Person 1,bye,"('fc',)",0.375996351,0.742811739,1.016468406,0.913960993,1.981660358,1.800198546,no,no,forward,no,fc,forward
7,0,Person 1,What did you think about this article,"('qo',)",0.667438745,0.757092655,0.820218205,0.953185976,2.554628283,1.896952885,no,qo,no,no,qo,question
7,1,Person 2,this just made me so sad he was a great guy,"('sv',)",3.788843632,3.663111687,1.724639177,2.369535208,2.554628283,1.896952885,opinion,no,no,no,sv,statement
7,2,Person 1,It makes me sad too...,(),3.850743532,3.358689308,2.191945314,2.629212856,2.554628283,1.896952885,opinion,no,no,no,none,others
7,3,Person 2,crazy how fast they were going,"('sd',)",2.311242819,2.619058609,1.518578649,1.434716821,2.554628283,1.896952885,fact,no,no,no,sd,statement
7,4,Person 1,It is... seems so dangerous.,"('sv',)",2.860375404,3.180090427,1.756337285,1.697987556,2.554628283,1.896952885,opinion,no,no,no,sv,statement
7,5,Person 2,yeah i wonder if eventually they will discover drugs or alchol,"('qh',)",2.196899176,1.579415441,1.421531558,1.578947306,2.554628283,1.896952885,no,no,forward,no,qh,forward
7,6,Person 1,"I wouldn't be surprised... a ""celebrity"" like that, it seems like it'd be normal almost",(),2.329210997,2.068143606,0.913545907,2.078359365,2.554628283,1.896952885,opinion,no,no,no,none,others
